n,lu,gauss,lu_pivot,gauss_pivot
10000,1.204576e6,1.204576e6,1.364672e6,1.364672e6
20000,2.409184e6,2.409184e6,2.72928e6,2.72928e6
30000,2.565216e6,2.565216e6,3.045312e6,3.045312e6
40000,4.818272e6,4.818272e6,5.458368e6,5.458368e6
50000,4.974304e6,4.974304e6,5.7744e6,5.7744e6
60000,5.130336e6,5.130336e6,6.090432e6,6.090432e6
70000,9.480672e6,9.480672e6,1.0600768e7,1.0600768e7
80000,9.636576e6,9.636576e6,1.0916672e7,1.0916672e7
90000,9.792608e6,9.792608e6,1.1232704e7,1.1232704e7
100000,9.94864e6,9.94864e6,1.1548736e7,1.1548736e7
