n,lu,gauss,lu_pivot,gauss_pivot
100,0.0089899666,0.0030487877,0.0082488514,0.0061187837
200,0.00016219489999999998,0.0001564373,0.0006009259000000001,0.0005568125
300,0.0002747123,0.00026273360000000006,0.0009132584,0.0008776016
400,0.0003859965,0.00037739069999999993,0.0012318486,0.0011918398
500,0.0005196205000000001,0.0005139796,0.0015431583,0.0015315136
600,0.0006671123999999999,0.0006353166999999999,0.0018871242,0.0019337324999999998
700,0.0008257913000000001,0.0008289725000000001,0.0022401041999999998,0.0023200009
800,0.0011886927999999997,0.0010711149,0.0027784296999999996,0.0025909805000000003
900,0.0013019609999999997,0.0012655488,0.0031365265000000003,0.0030509616000000002
1000,0.0015872594999999999,0.0015693891,0.0036477205000000007,0.0035638980000000002
